title,difficulty,topic
Two Sum,Easy,Array
Contains Duplicate,Easy,Array
Best Time to Buy and Sell Stock,Easy,Array
Product of Array Except Self,Medium,Array
Maximum Subarray,Medium,Array
3Sum,Medium,Two Pointers
Container With Most Water,Medium,Two Pointers
Trapping Rain Water,Hard,Two Pointers
Valid Parentheses,Easy,Stack
Implement Queue using Stacks,Easy,Stack
Daily Temperatures,Medium,Stack
Min Stack,Medium,Stack
Evaluate Reverse Polish Notation,Medium,Stack
Largest Rectangle in Histogram,Hard,Stack
Binary Search,Easy,Binary Search
Median of Two Sorted Arrays,Hard,Binary Search
Search a 2D Matrix,Medium,Binary Search
Find Minimum in Rotated Sorted Array,Medium,Binary Search
Search in Rotated Sorted Array,Medium,Binary Search
Koko Eating Bananas,Medium,Binary Search
Merge Intervals,Medium,Intervals
Insert Interval,Medium,Intervals
Non-overlapping Intervals,Medium,Intervals
Meeting Rooms,Easy,Intervals
Meeting Rooms II,Medium,Intervals
Longest Substring Without Repeating Characters,Medium,Sliding Window
Minimum Window Substring,Hard,Sliding Window
Sliding Window Maximum,Hard,Sliding Window
Longest Repeating Character Replacement,Medium,Sliding Window
Valid Anagram,Easy,String
Group Anagrams,Medium,String
Longest Palindromic Substring,Medium,String
Number of Islands,Medium,Graph
Course Schedule,Medium,Graph
Word Ladder,Hard,Graph
Rotting Oranges,Medium,Graph
Clone Graph,Medium,Graph
Pacific Atlantic Water Flow,Medium,Graph
Graph Valid Tree,Medium,Graph
Alien Dictionary,Hard,Graph
Kth Largest Element in Array,Medium,Heap
Top K Frequent Elements,Medium,Heap
Find Median from Data Stream,Hard,Heap
K Closest Points to Origin,Medium,Heap
LFU Cache,Hard,Design
LRU Cache,Medium,Design
Design Add and Search Words Data Structure,Medium,Trie
Implement Trie (Prefix Tree),Medium,Trie
Regular Expression Matching,Hard,Dynamic Programming
Climbing Stairs,Easy,Dynamic Programming
Coin Change,Medium,Dynamic Programming
Longest Increasing Subsequence,Medium,Dynamic Programming
Longest Common Subsequence,Medium,Dynamic Programming
Word Break,Medium,Dynamic Programming
Edit Distance,Hard,Dynamic Programming
House Robber,Medium,Dynamic Programming
Decode Ways,Medium,Dynamic Programming
Reverse Linked List,Easy,Linked List
Merge Two Sorted Lists,Easy,Linked List
Reorder List,Medium,Linked List
Remove Nth Node From End of List,Medium,Linked List
Copy List with Random Pointer,Medium,Linked List
Linked List Cycle,Easy,Linked List
Merge k Sorted Lists,Hard,Linked List
Maximum Depth of Binary Tree,Easy,Tree
Same Tree,Easy,Tree
Invert Binary Tree,Easy,Tree
Binary Tree Maximum Path Sum,Hard,Tree
Binary Tree Level Order Traversal,Medium,Tree
Serialize and Deserialize Binary Tree,Hard,Tree
Lowest Common Ancestor of a BST,Medium,Tree
Subsets,Medium,Backtracking
Combination Sum,Medium,Backtracking
Permutations,Medium,Backtracking
Word Search,Medium,Backtracking
N-Queens,Hard,Backtracking
Rotate Image,Medium,Math
Spiral Matrix,Medium,Math
Set Matrix Zeroes,Medium,Math